	Kingdom	Phylum	Class	Order	Family	Genus	Species
uc_f_vadinBE97.unclassified	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	vadinBE97	uc_f_vadinBE97	uc_f_vadinBE97.unclassified
Treponema.porcinum	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema.porcinum
Bacteroides.eggerthii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.eggerthii
uc_o_Chloroplast.unclassified	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	uc_o_Chloroplast	uc_o_Chloroplast.unclassified
Ruminococcus.flavefaciens	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus.flavefaciens
Lawsonella.clevelandensis	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	Lawsonella.clevelandensis
Bacteroides.dorei	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.dorei
[Ruminococcus] gauvreauii group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group.unclassified
Desulfovibrio.fairfieldensis	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio.fairfieldensis
Prevotella.colorans	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.colorans
Elusimicrobium.unclassified	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	Elusimicrobium.unclassified
Lachnospiraceae ND3007 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae ND3007 group	Lachnospiraceae ND3007 group.unclassified
Bacteroides.fluxus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.fluxus
Haemophilus.parainfluenzae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus.parainfluenzae
uc_f_Sutterellaceae.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	uc_f_Sutterellaceae	uc_f_Sutterellaceae.unclassified
Lachnoclostridium.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium.unclassified
Harryflintia.acetispora	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia	Harryflintia.acetispora
Angelakisella.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella.unclassified
Methanobacterium.unclassified	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium.unclassified
Anaerofustis.unclassified	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis	Anaerofustis.unclassified
Faecalitalea.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea.unclassified
HT002.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	HT002	HT002.unclassified
Dellaglioa.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa.unclassified
Peptoclostridium.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoclostridium	Peptoclostridium.unclassified
CAG-56.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	CAG-56.unclassified
Fusobacterium.ulcerans	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.ulcerans
Methanobrevibacter.unclassified	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter.unclassified
Bacteroides.caecicola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.caecicola
Synergistes.unclassified	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Synergistes	Synergistes.unclassified
[Ruminococcus] torques group.torques	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group.torques
Bacteroides.caecigallinarum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.caecigallinarum
Bifidobacterium.dentium	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.dentium
uc_f_Desulfovibrionaceae.unclassified	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	uc_f_Desulfovibrionaceae	uc_f_Desulfovibrionaceae.unclassified
[Eubacterium] ventriosum group.ventriosum	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group.ventriosum
Pseudomonas.citronellolis	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas.citronellolis
uc_o_Clostridiales.unclassified	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	uc_o_Clostridiales	uc_o_Clostridiales.unclassified
Oribacterium.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium.unclassified
UCG-005.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	UCG-005.unclassified
Peptoniphilus.grossensis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.grossensis
