	Kingdom	Phylum	Class	Order	Family	Genus	Species
Faecalibacterium.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium.unclassified
Peptoniphilus.duerdenii	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.duerdenii
UCG-004.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	UCG-004.unclassified
Limosilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus.unclassified
uc_f_Hungateiclostridiaceae.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	uc_f_Hungateiclostridiaceae	uc_f_Hungateiclostridiaceae.unclassified
Eggerthella.lenta	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella.lenta
Parabacteroides.merdae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.merdae
uc_f_Puniceicoccaceae.unclassified	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	uc_f_Puniceicoccaceae	uc_f_Puniceicoccaceae.unclassified
Lactobacillus.amylovorus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.amylovorus
Proteus.vulgaris	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus.vulgaris
Victivallis.unclassified	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis.unclassified
Streptococcus.dysgalactiae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.dysgalactiae
Streptococcus.gallolyticus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.gallolyticus
Eggerthia.catenaformis	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Eggerthia	Eggerthia.catenaformis
[Eubacterium] ruminantium group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ruminantium group	[Eubacterium] ruminantium group.unclassified
Catabacter.unclassified	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Catabacter	Catabacter.unclassified
Streptococcus.mutans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.mutans
Frisingicoccus.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus.unclassified
Peptoniphilus.coxii	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.coxii
Veillonella.dispar	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella.dispar
Peptoniphilus.koenoeneniae	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.koenoeneniae
Prevotellaceae UCG-003.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	Prevotellaceae UCG-003.unclassified
Hafnia-Obesumbacterium.alvei	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia-Obesumbacterium	Hafnia-Obesumbacterium.alvei
Gordonibacter.urolithinfaciens	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	Gordonibacter.urolithinfaciens
Bifidobacterium.breve	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.breve
Arcanobacterium.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium.unclassified
Raoultibacter.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	Raoultibacter	Raoultibacter.unclassified
Porphyromonas.asaccharolytica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas.asaccharolytica
Erysipelatoclostridium.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium.unclassified
Pyramidobacter.piscolens	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	Pyramidobacter.piscolens
Anaerostipes.hadrus	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes.hadrus
Bacteroides.nordii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.nordii
Colidextribacter.massiliensis	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	Colidextribacter.massiliensis
Bacteroides.graminisolvens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.graminisolvens
Butyricicoccus.pullicaecorum	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus.pullicaecorum
GCA-900066575.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066575	GCA-900066575.unclassified
Lactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.unclassified
Dorea.formicigenerans	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea.formicigenerans
uc_o_Lachnospirales.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	unclassified	uc_o_Lachnospirales	uc_o_Lachnospirales.unclassified
uc_c_Alphaproteobacteria.unclassified	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	uc_c_Alphaproteobacteria	uc_c_Alphaproteobacteria.unclassified
Rothia.mucilaginosa	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia.mucilaginosa
Coprococcus.eutactus	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus.eutactus
Pseudomonas.fragi	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas.fragi
Allobaculum.stercoricanis	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	Allobaculum.stercoricanis
Bosea.unclassified	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Bosea.unclassified
uc_o_Desulfovibrionales.unclassified	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	unclassified	uc_o_Desulfovibrionales	uc_o_Desulfovibrionales.unclassified
Megasphaera.hexanoica	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera.hexanoica
uc_o_Bacteroidales.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	unclassified	uc_o_Bacteroidales	uc_o_Bacteroidales.unclassified
Bacteroides.caccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.caccae
uc_o_Flavobacteriales.unclassified	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	unclassified	uc_o_Flavobacteriales	uc_o_Flavobacteriales.unclassified
Leuconostoc.gelidum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc.gelidum
uc_o_Erysipelotrichales.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	unclassified	uc_o_Erysipelotrichales	uc_o_Erysipelotrichales.unclassified
Corynebacterium.durum	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium.durum
[Eubacterium] siraeum group.siraeum	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	[Eubacterium] siraeum group	[Eubacterium] siraeum group.siraeum
Actinobacillus.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus	Actinobacillus.unclassified
